Postcode,Borough,Neighbourhood,Latitude,Longitude
76212,Queretaro,"La Cantera, Charape de los Pelones, La Luz, Guadalupe (La Lagrima), El Rincón de Ojo de Agua, El Raspiño",20.8881499781603,-100.452854317269
76213,Queretaro,"La Palma, La Versolilla, Palo Alto",20.8768537592006,-100.369864351035
76214,Queretaro,La Estancia de Palo Dulce,20.871005953211,-100.484913271386
76215,Queretaro,"Parque Industrial Queretaro, Jofre, San Antonio de Trojes",20.8310922372954,-100.425718984262
76216,Queretaro,Presa de Becerra,20.8498949140066,-100.452590857384
76217,Queretaro,Cañada de la Monja,20.8546816743143,-100.501619824322
76218,Queretaro,Loma del Chino,20.8498205058669,-100.476097273356
76219,Queretaro,La Monja,20.8449219735215,-100.495067489988
76220,Queretaro,"Emiliano Zapata, Las Lajitas, El Pedregal, Los Ángeles, La Cruz, Arboledas, La Loma, Las Flores, Benito Juárez, Parque Industrial Polígono Empresarial, Corregidora, Colinas de Santa Rosa, Lindavista, Santa Lucia, San Francisco, Los Arquitos, Valle Dorado, Lomas del Pedregal, Las Rosas, Continental, Santa Rosa de Jauregui, San Miguelito, Puerto de Aguirre, Montenegro, Francisco Villa",20.7460038649924,-100.447367970704
76221,Queretaro,"La Joya, La Carbonera, Cerro de la Cruz, Charape de la Joya, La Barreta",20.8167910270858,-100.528704546696
76223,Queretaro,"Hacienda Santa Rosa, Ampliación Piano, Los Venados, Corea, Santa Catarina (Asociación de Colonos), San Isidro Buenavista, Pinto, Pintillo, Santa Catarina",20.7826905904639,-100.44075933229
76224,Queretaro,"Pie de Gallo, El Madroño, Llano de La Rochera, El Herrero, San Isidro Viejo, Estancia de la Rochera, El Paraíso, Cerro Colorado (El Colorado), Los Jiménez, Presita de San Antonio, La Puerta de Santiaguillo, Casa Blanca",20.7580082462926,-100.511518204206
76225,Queretaro,Buenavista,20.825487697738,-100.471039397482
76226,Queretaro,"Real de Juriquilla, Loma Juriquilla, Cuadrilla Juriquilla, Rincón del Lago, Juriquilla, Jurica Misiones, Campestre Ecológico la Rica, Real de Juriquilla Prados, Acequia Blanca, Grand Preserve, Lomas de San Isidro, Villas del Mesón, San José Buenavista, Lomas de Juriquilla, San Isidro, Campestre Juriquilla",20.7192623536284,-100.462559499162
76227,Queretaro,"La Purísima, El Transito, El Patol, Los Muertos, Cerro Prieto, Quintín Lozada",20.7268124046105,-100.557561743626
76228,Queretaro,"La Tinaja de La Estancia, San Isidro El Alto",20.7113365660682,-100.551816052489
76229,Queretaro,"Mompaní, San Francisco de la Palma, Mesita de Mompani, Puertas de San Miguel, El Puertecito, Santa María del Zapote, El Nabo, Tlacote El Alto, El Pie, Tlacote el Bajo",20.6769377049252,-100.520799285091
76230,Queretaro,"Juriquilla Santa Fe, Caletto, Independencia, Azteca, Nuevo Juriquilla, Jurica Acueducto, Los Naranjos, Paraíso Diamante, Nuevo Paraíso, Mayoral 1 y 2, La Solana, Altavista Juriquilla, Rancho Largo, Juriquilla Privada, San Francisco Juriquilla, Jurica Tolimán, La Cañada Juriquilla, Balcones de Juriquilla, Cumbres del Lago, Rinconada Santini, Hacienda Grande, Colinas de Juriquilla, Punta Juriquilla, Jurica La Solana, Paseo del Piropo",20.605944,-100.4916155
76233,Queretaro,"El Huizachal de las Tetillas, Las Mariposas, Santa Rosa de Jauregui, Las Paulonias Campestre",20.7252426117409,-100.41339745269
76234,Queretaro,Santo Niño de Praga,20.6685,-100.5117
76235,Queretaro,"Los Viñedos, El Rincón, Tres Cantos Residencial, Sonterra, Campestre Huertas la Joya, Santa María de los Reyes, Puerta Verona",20.6195601844407,-100.491989791361
76237,Queretaro,"San Pedrito el Alto (El Obraje), CERESO del Estado, Altozano el Nuevo Queretaro, Nuevo Refugio",20.67806196562480,-100.38697958504600
76238,Queretaro,"Las Águilas, Prados de Miranda, Santa Juanita Miranda, Nuevo Horizonte",20.5524817559101,-100.360034076248
