AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200143882015,342,129,3,136,147,313,286,9,18,168,339,134,11,90,37,62,87,96,99,102,102,100,339
2200143882016,575,204,6,215,283,498,443,21,31,277,572,247,41,158,68,106,145,168,173,172,173,173,572
2200143882017,74,28,0,19,34,65,52,*,8,38,74,32,*,20,6,13,17,20,21,21,21,20,74
2200143882018,244,77,4,105,131,203,167,13,20,111,241,112,12,80,28,56,65,79,81,82,82,80,241
2200143882019,82,24,0,43,42,73,71,3,0,54,82,44,6,28,14,19,25,29,29,29,29,29,82
2200143882020,174,55,3,78,90,133,116,10,7,91,174,87,8,54,29,43,46,53,54,54,55,55,174
2200143882021,162,57,8,58,70,140,115,0,21,69,153,65,8,45,18,27,38,43,45,48,48,48,153
2200143882022,352,135,5,128,157,313,264,21,22,169,349,156,22,97,41,71,84,101,102,102,102,102,349
2200143882023,79,32,*,25,37,66,63,0,3,37,79,36,*,22,4,13,22,22,24,24,24,22,79
2200143882024,120,48,*,43,50,108,82,12,11,57,120,58,9,34,14,23,24,36,37,37,37,36,120
2200143882025,19,5,0,7,13,17,17,0,0,10,19,12,0,6,*,3,6,6,6,6,6,6,19
2200143882026,23,10,*,5,10,16,14,*,*,10,23,15,0,7,*,4,7,7,7,7,7,7,23
2200143882027,155,39,3,76,85,119,96,5,9,82,146,175,7,46,27,40,38,45,48,48,48,48,146
2200143882028,233,68,5,101,107,192,163,9,13,120,230,146,17,61,35,48,57,64,66,66,66,66,230
2200143882029,154,49,4,80,79,128,98,34,3,82,154,108,19,46,24,33,41,45,48,48,49,49,154
2200143882030,91,38,0,27,39,75,70,5,0,48,91,32,*,27,12,16,21,24,28,26,27,28,91
2200143882031,134,49,3,52,50,102,95,6,0,59,134,62,13,38,19,22,36,39,39,40,40,40,134
2200143882032,58,22,0,23,29,51,43,0,8,26,58,30,*,20,3,13,16,20,21,21,21,21,58
2200143882033,68,25,0,16,33,50,34,*,15,29,68,32,0,19,*,11,16,18,20,20,20,20,68
2200143882034,216,70,*,80,110,189,166,14,14,110,216,110,15,64,27,43,56,68,72,72,72,72,216
2200143882035,133,51,*,44,61,103,94,7,*,63,130,51,10,33,17,29,32,34,35,35,35,35,130
2200143882036,62,27,*,17,27,55,52,3,0,30,62,21,3,18,9,16,17,18,18,18,18,18,62
2200143882037,57,27,0,17,19,42,34,*,6,28,57,20,*,13,3,11,11,15,15,15,15,15,57
2200143882038,74,26,*,22,36,62,54,4,7,30,74,28,4,22,7,15,18,22,23,23,23,22,74
2200143882039,18,9,0,7,5,18,17,*,0,8,18,16,*,4,4,4,4,5,5,5,5,5,18
2200143882040,44,13,*,22,21,41,41,3,0,22,44,35,*,14,8,13,13,14,14,14,14,14,44
2200143882041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143897000,1659,560,20,506,841,1372,1239,29,80,823,1635,873,84,484,166,246,393,488,503,510,510,505,1635
2200143897001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143897002,10,4,0,6,5,9,7,0,*,6,10,14,0,*,*,*,*,3,3,3,3,3,10
2200143897003,19,6,*,8,9,11,11,0,0,11,19,32,*,6,3,4,6,6,6,6,6,6,19
2200143897004,19,6,0,9,12,18,18,0,0,10,19,26,*,5,4,*,5,5,5,5,5,5,19
2200143897005,112,34,*,50,56,95,89,*,0,56,112,62,10,35,19,20,32,34,33,35,35,35,112
2200143897009,45,14,0,20,23,38,32,7,*,22,42,26,*,14,7,9,9,14,15,15,15,15,42
2200143897010,50,15,0,29,31,43,39,0,4,32,50,26,*,16,10,12,13,16,16,16,16,16,50
2200143897011,38,11,*,13,21,32,32,0,0,22,38,40,*,11,3,6,9,10,11,11,11,11,38
2200143897012,37,13,0,13,22,35,33,0,*,20,37,16,*,9,3,8,8,11,11,11,11,10,37
2200143897013,45,20,0,12,22,37,29,0,8,19,45,16,5,10,5,6,10,11,11,12,12,12,45
